span	freq	ascii_variant	contexts
Prince Abhaya's	1	Prince Abhaya's	rrying his bowl and outer robe, went to Prince Abhaya's home.
Prosperity	1	Prosperity	...of the gods Bathed in their own Prosperity...
Psalms	1	Psalms	In the Psalms of the Sisters (Therigatha), the nun Pu
Punabbasuka	1	Punabbasuka	e as the names of two monks, Assaji and Punabbasuka.
Punnika	1	Punnika	ms of the Sisters (Therigatha), the nun Punnika speaks to a brahman as follows: Nay now
Put	1	Put	uring the day — would say to his wife, 'Put this aside and we'll all eat it togethe
Pāḷi	1	Pali	nquired into and who has not conned the Pāḷi scriptures concerning khandha, āyatana
Pūraṇa Kassapa	1	Purana Kassapa	ell-regarded by people at large — i.e., Pūraṇa Kassapa , Makkhali Gosāla , Ajita Kesakambalin
Queen Vasabha	1	Queen Vasabha	do you think, great king: Is the noble Queen Vasabha dear to you?...
Quite	1	Quite	The four jhanas "Quite withdrawn from sensuality, withdrawn fr
Raft	1	Raft	contexts, such as in the Simile of the Raft, the emphasis is upon "crossing the flo
Ragapeyyala	1	Ragapeyyala	Anguttara Nikaya, which carry the title Ragapeyyala, the Repetitive Text on Greed (etc.).
Rahogata-vagga Sutta	1	Rahogata-vagga Sutta	: see Samyutta Nikaya, Vedana Samyutta, Rahogata-vagga Sutta 1 .
Rains Retreat	1	Rains Retreat	ne's] native land, having completed the Rains Retreat in the native land, went to the Blessed
Rajagaha.' You	1	Rajagaha.' You	Rajagaha, sir; show me the way to this Rajagaha.' You might speak thus to him: "Yes, my good
Rajaka Park	1	Rajaka Park	alms round, he went with a companion to Rajaka Park.
Rakkhita	1	Rakkhita	yanta, Paduma, and Uppala; Padumuttara, Rakkhita, and Pabbata.
Realm	1	Realm	...of the gods of the Realm of the Thirty-three...
Reappear	1	Reappear	us released: Where does he reappear?" "'Reappear,' Vaccha, doesn't apply." "In that case
Reference	1	Reference	The Four Frames of Reference "And how is mindfulness of in-&-out bre
Regardless	1	Regardless	There is nothing wrong with that act.'" Regardless of how Arittha actually arrived at his
Remaining	1	Remaining	" [2] Remaining mindful in this way, he examines, analy
Remembering	1	Remembering	lpful for penetrating the meaning?..." "Remembering the Dhamma...
Repetitive Text	1	Repetitive Text	which carry the title Ragapeyyala, the Repetitive Text on Greed (etc.).
Reply	1	Reply	(Reply:) This should not be understood in that
Requisite Condition	1	Requisite Condition	Consciousness Classified by Requisite Condition "Consciousness, monks, is classified si
Resistance	1	Resistance	on the other side of painful feeling?" "Resistance lies on the other side of painful feeli
Resort	1	Resort	ving in the Deer Park at Isipatana (the Resort of Saints) near Varanasi (Benares).
Revered	1	Revered	he addressed the monks thus: "Monks." "Revered one," the monks answered the Exalted On
Reverend	1	Reverend	Sariputta addressed the monks, saying: "Reverend friends." "Your reverence," the monks r
Reverend Sir	1	Reverend Sir	khus," and they replied to him saying, "Reverend Sir." The Blessed One spoke as follows: "Fiv
Rightly	1	Rightly	"Rightly speaking, were it to be said of anyone:
Ruler	1	Ruler	he Maker, Creator, Chief, Appointer and Ruler, Father of All That Have Been and Shall
Rāhu's	1	Rahu's	pot,' the 'polished-shell shave,' the 'Rāhu's mouth,' the 'flaming garland,' the 'bla
Sa.myutta Nikaaya	1	Sa.myutta Nikaaya	the title of a section of suttas in the Sa.myutta Nikaaya (Khandha Sa.myutta, No.
Saati's	1	Saati's	imilar contexts — e.g., in MN 38, where Saati's misconceptions are rejected.
Saavatthi	1	Saavatthi	one time the Exalted one was living at Saavatthi in the Jeta Grove, Anaathapi.n.dika's m
Saavatthii	1	Saavatthii	Once the Blessed One lived at Saavatthii, in Jeta's Grove, in Anaathapindika's m
Sacca	1	Sacca	Subahu, Upanemisa, Nemisa, Santacitta, Sacca, Tatha, Viraja, and Pandita.
Saccaka's	1	Saccaka's	Aggivessana is Saccaka's clan name.
Saccanama	1	Saccanama	Calm (Nibbana), Uposatha, Sundara, and Saccanama.
Sainthood	1	Sainthood	Destruction of Cankers: Sainthood) "Then with the mind composed...
Saints	1	Saints	e Deer Park at Isipatana (the Resort of Saints) near Varanasi (Benares).
Saketa.' Answering	1	Saketa.' Answering	ived at the door of the inner palace at Saketa.' Answering in this way, he would answer them corre
Sal	1	Sal	g at Ukkattha , in the shade of a royal Sal tree in the Very Blessed Grove.
Salavatika	1	Salavatika	large community of monks, he arrived at Salavatika .
Sallekha	1	Sallekha	*[ Sallekha (= sam-lekha) is derived from the verba
Samiddhi's	1	Samiddhi's	told the Blessed One all the venerable Samiddhi's conversation with the wanderer Potalipu
Samkhyan	1	Samkhyan	ed in fitting Buddhist teachings into a Samkhyan mold, then it's small wonder that they
Samyutta Nikaya	1	Samyutta Nikaya	quotation from the Buddha's words: see Samyutta Nikaya, Vedana Samyutta, Rahogata-vagga Sutta
Sanghadisesa	1	Sanghadisesa	n one thousand.) In the origin story to Sanghadisesa 13 , the monks led by Assaji and Punabb
Sankhya	1	Sankhya	suggests that this phrase indicates the Sankhya theory of the changeless "person" as op
Sanskrit	1	Sanskrit	ng it as "night," a reading seconded by Sanskrit and Tibetan versions of the discourse.
Santacitta	1	Santacitta	ed one, then Subahu, Upanemisa, Nemisa, Santacitta, Sacca, Tatha, Viraja, and Pandita.
Sappurisa	1	Sappurisa	By "the Virtuous" (Sappurisa) is meant the Buddha, Paccekabuddhas an
Sarabhanga	1	Sarabhanga	"Sattha, Pavatta, Sarabhanga, Lomahamsa, Uccangamaya, Asita, Anasava
Sarassati	1	Sarassati	, [20] Gaya and Sundarika , Payaga and Sarassati , And the stream Bahumati — A fool may
Sariputta's	1	Sariputta's	These two suttas treat Sariputta's attainment from two different perspecti
Satipatthaana Sutta	1	Satipatthaana Sutta	ery often in the commentaries (e.g., to Satipatthaana Sutta), the term "world" ( loko ) is explaine
Satipatthana Samyutta	1	Satipatthana Samyutta	123), and the Nalanda Sutta of the Satipatthana Samyutta.
Sattha	1	Sattha	"Sattha, Pavatta, Sarabhanga, Lomahamsa, Uccang
Sayha	1	Sayha	, Sangha, and Uccaya, and then the sage Sayha of sublime energy.
Sañjaya Velaṭṭhaputta	1	Sanjaya Velatthaputta	jita Kesakambalin , Pakudha Kaccāyana , Sañjaya Velaṭṭhaputta , & the Nigaṇṭha Nāṭaputta : Do they al
Searching	1	Searching	) by Maara: anvesa.m naadhigacchaami , "Searching I cannot find" — i.e., the consciousnes
See Cv.V.8	1	See Cv.V.8	(See Cv.V.8; Buddhist Monastic Code , vol.
See Note	1	See Note	( See Note 18 ).
Sekhampi	1	Sekhampi	le of the second pattern is in AN 3.74: Sekhampi kho mahānāma sīlaṃ vuttaṃ bhagavatā, as
Self'	1	Self'	: "This statement ('The universe is the Self') refers to the (wrong) view 'He conside
Self-Awakened One	1	Self-Awakened One	re in the world, a perfected one, fully Self-Awakened One, endowed with right knowledge and condu
Self-identification	1	Self-identification	he was sitting there he said to her, "'Self-identification, self-identification,' it is said, lady
Sense-Control	1	Sense-Control	ain yourself in the rules of training.' Sense-Control "And when, Aggivessana, the ariyan disc
Sense-control	1	Sense-control	thagata disciplines him further saying: Sense-control "'Come you monk, be guarded as to the d
Sensing	1	Sensing	re is nothing further for this world.' "Sensing a feeling of pleasure, one discerns tha
Setting	1	Setting	ta's Grove, Anathapindika's monastery." Setting his lodgings in order and taking his ro
Seven	1	Seven	w there is the descent of an embryo?' "[Seven brahman seers:] 'Yes, master, we know h
Seven Bojjhaṅgas	1	Seven Bojjhangas	As a matter of fact, the Seven Bojjhaṅgas cannot take place without the practice
Seven Factors	1	Seven Factors	he bhikkhu who does not cultivate these Seven Factors of Enlightenment.
Shall	1	Shall	ld you run after the future, thinking, 'Shall we be in the future?
Shall Be	1	Shall Be	Ruler, Father of All That Have Been and Shall Be.
Shorter Discourse	1	Shorter Discourse	note This verse comes at the end of the Shorter Discourse on the Cowherd, where the Buddha develo
Should	1	Should	What do you think: Should the man rightly be upset?" "No, lord.
Sidari	1	Sidari	destroyer of the bonds of becoming, and Sidari, the destroyer of craving.
Sikhi	1	Sikhi	Bodhi, Mahanama, and then Uttara; Kesi, Sikhi, Sundara, and Bharadvaja.
Singleness	1	Singleness	uisites, and what is its development?" "Singleness of mind is concentration, friend Visakh
Sirs	1	Sirs	udent Assalayana said to the brahmans, "Sirs, Gotama the contemplative is one who sp
Sisters'	1	Sisters'	he holy life for the sake of nymphs." "'Sisters' he calls us!" And they fell down right
Six	1	Six	who has arrived at this true Dhamma." Six sense media Saying "Good, friend," havi
Six External Sense-bases	1	Six External Sense-bases	The Six Internal and the Six External Sense-bases "And, further, O bhikkhus, a bhikkhu li
Six View-Positions	1	Six View-Positions	hammas, to say nothing of non-Dhammas." Six View-Positions "Monks, there are these six view-positi
Skillful Action	1	Skillful Action	the articles, " Karma ," " A Refuge in Skillful Action ," and " Five Piles of Bricks "; see al
Skillfulness	1	Skillfulness	th the introductions to the sections on Skillfulness and Kamma & the Ending of Kamma in that
Skt	1	Skt	sa-maya ñana)." Our rendering of attha (Skt.: artha) b; "goal" is supported by Comy.
Sn IV.10	1	Sn IV.10	Sn IV.6 and Sn IV.10 state that the arahant has transcended
Sn V.6	1	Sn V.6	For instance, Sn V.6 quotes the Buddha as calling the attain
Snake Simile	1	Snake Simile	See Discourse on the Snake Simile (Wheel No.
So Dasama	1	So Dasama	Ananda?" So Dasama the householder from Atthakanagara, hav
So King Koravya	1	So King Koravya	I am sitting on my own seat." So King Koravya sat down on the seat prepared.
So King Pasenadi	1	So King Pasenadi	rahman of the Akasa clan , great king." So King Pasenadi turned to one of his men, "Come, my goo
So Ratthapala's	1	So Ratthapala's	household life into homelessness?'" [4] So Ratthapala's friends went to Ratthapala and, on arri
Sobhita	1	Sobhita	Manatthaddha, Sobhita, Vataraga, and the paccekabuddha Kanha
Soma Thera	1	Soma Thera	ng by "effacement" is Ñanamoli Thera's; Soma Thera has "cancelling"; I.
Someone	1	Someone	omy to MN 44 we find a similar phrase: "Someone considers corporeality as self: what is
Something	1	Something	"Something more peaceful than that" would be any a
Sometimes	1	Sometimes	[9] Sometimes my friends & advisors, relatives & bloo
Sorata	1	Sorata	uppatitthita, Asayha, Khemabhirata, and Sorata.
Sotāpatti	1	Sotapatti	i.e., perception of Nibbāna by means of Sotāpatti magga.
South Asia	1	South Asia	is a regular cold spell which occurs in South Asia in late December or early January.
Sovereign Lord	1	Sovereign Lord	ered, the All-Seeing, All-Powerful, the Sovereign Lord, the Maker, Creator, Chief, Appointer a
Speaking	1	Speaking	[12] "Speaking in this way, teaching in this way, I ha
Spring	1	Spring	Ñanamoli translates it as "Feast of Spring." 22 .
Squirrels'	1	Squirrels'	ear Rājagaha at the Bamboo Grove in the Squirrels' sanctuary.
Squirrels' Feeding Ground	1	Squirrels' Feeding Ground	ear Rajagaha , at the Bamboo Grove, the Squirrels' Feeding Ground.
Squirrels' Feeding Place	1	Squirrels' Feeding Place	at Rajagaha , in the Bamboo Grove, the Squirrels' Feeding Place.
Stainless One	1	Stainless One	et them hear the Dhamma realized by the Stainless One!
Stick-in-hand	1	Stick-in-hand	Dandapani ("Stick-in-hand") the Sakyan, out roaming & rambling fo
Stop	1	Stop	ped and called out to the Blessed One, "Stop, contemplative!
Stress Saying	1	Stress Saying	who has arrived at this true Dhamma." Stress Saying "Good, friend," having delighted in and
Sub	1	Sub	These salutary things, says Sub.
Sub-commentary	1	Sub-commentary	ns indulging in sexual intercourse; the Sub-commentary adds that other acts expressing sexual
Subahu	1	Subahu	then Kosala, the enlightened one, then Subahu, Upanemisa, Nemisa, Santacitta, Sacca,
Sublime One	1	Sublime One	he time, Blessed One, this is the time, Sublime One, for the Blessed One to expound the Gre
Sudassana	1	Sudassana	ittha, Uparittha, Tagarasikhi, Yasassi, Sudassana, Piyadassi the enlightened.
Sudatha	1	Sudatha	thula, Atthama, and then Megha, Anigha, Sudatha are paccekabuddhas whose desire for bec
Sumbha	1	Sumbha	"Sumbha, Subha, Methula, Atthama, and then Megh
Sundarika-Bharadvaja Sutta	1	Sundarika-Bharadvaja Sutta	See also the Sundarika-Bharadvaja Sutta in the Sutta Nipata.
Suppatitthita	1	Suppatitthita	Sumangala, Dabbila, Suppatitthita, Asayha, Khemabhirata, and Sorata.
Supramundane Fulfillment	1	Supramundane Fulfillment	te of non-returning (the Third Stage of Supramundane Fulfillment).
Sutava	1	Sutava	ra, Pindola and Upasabha, Nitha, Tatha, Sutava, Bhavitatta.
Sutta

Translator's Introduction This	1	Sutta

Translator's Introduction This	Maha-su&ntilde;&ntilde;ata Sutta

Translator's Introduction This sutta gives many valuable lessons on pr
Sutta Nipata	1	Sutta Nipata	o the Sundarika-Bharadvaja Sutta in the Sutta Nipata.
Suttanta	1	Suttanta	t Council:] Deep like the ocean is this Suttanta on Effacement, Dealing with forty-four
Sāti.'	1	Sati.'	saying, 'The Teacher calls you, friend Sāti.'" "As you say, lord," the monk answered
Sāvatthi	1	Savatthi	Jetavana monastery of Anāthapiṇḍika in Sāvatthi.
Tadadhimutta	1	Tadadhimutta	and Bandhuma, the destroyers of pride; Tadadhimutta, Vimala, and Ketuma.
Tagarasikhi	1	Tagarasikhi	"Arittha, Uparittha, Tagarasikhi, Yasassi, Sudassana, Piyadassi the enli
Taints	1	Taints	and has arrived at this true Dhamma." Taints 68.
Take	1	Take	r makes him do a further task, saying: 'Take up, put down.' When, Aggivessana the ki
Tandulapala Gate	1	Tandulapala Gate	so strong & free from illness." "At the Tandulapala Gate is a brahman named Dhanañjanin.
Tapussa	1	Tapussa	s is this: "Endowed with six qualities, Tapussa the householder has come to conclusion
Tathaagata.m	1	Tathaagata.m	Ditth'ev'aaha.m bhikkhave dhamme Tathaagata.m ananuve jjo'ti vadaami.
Tathagata's Great Exposition	1	Tathagata's Great Exposition	her sects that they will understand the Tathagata's Great Exposition of Kamma?
Teacher'	1	Teacher'	We speak thus out of respect for the Teacher'?" "No, lord." "Knowing thus and seeing
Tell	1	Tell	es Master Gotama have to say to this?" "Tell me, Bharadvaja, is there among the brah
Ten Benefits	1	Ten Benefits	( Ten Benefits ) "Monks, for one in whom mindfulness i
That's Moggallana	1	That's Moggallana	nurse raising a child after it's born: That's Moggallana.
That's Sariputta	1	That's Sariputta	Like the mother giving birth: That's Sariputta.
The Abhidhamma	1	The Abhidhamma	To the fore (parimukham): The Abhidhamma takes an etymological approach to this
The Atthakavagga	1	The Atthakavagga	For more on word play in the Canon, see The Atthakavagga: An Introduction .
The Book	1	The Book	nga, second book of the Abhidhamma: see The Book of Analysis, P.T.S.
The Brahma Invitation	1	The Brahma Invitation	nvitation, this discourse is entitled, "The Brahma Invitation." Notes 1 .
The Buddha's	1	The Buddha's	ctive meaning "of great or high power." The Buddha's last statement, in which he declares hi
The Buddha's Ancient Path	1	The Buddha's Ancient Path	e account of the Four Noble Truths read The Buddha's Ancient Path, Piyadassi Thera, Buddhist Publication
The Burmese	1	The Burmese	Mukharo'si tvaṃ Dummukha." The Burmese edition here reads, "Just you wait, Dum
The Contemplative	1	The Contemplative	g thus and seeing thus, would you say, 'The Contemplative says this.
The Dhamma	1	The Dhamma	The Well-Proclaimed Dhamma "The Dhamma thus well-proclaimed by me is clear, op
The Eightfold Path	1	The Eightfold Path	of all moral values, see Ledi Sayadaw, The Eightfold Path and its Factors Explained (BPS Wheel No
The Explicit Teaching	1	The Explicit Teaching	time bring you welfare and happiness." The Explicit Teaching and Its Fruit 42 .
